time,T_core0,T_core1,T_core2,IPC_core0,IPC_core1,IPC_core2,F_core0,F_core1,F_core2,P_core0,P_core1,P_core2,Energy_Per_Instruction_core0,Energy_Per_Instruction_core1,Energy_Per_Instruction_core2,Cdyn_core0,Cdyn_core1,Cdyn_core2
61149701000000,40.00470770594731,40.001894910037045,40.003996752347895,1.994406440942803,1.6332399794981447,1.9765082244949514,1.0,1.0,1.0,1.1364825306147561,0.8966376466787911,1.1536993982602821,2.0782137944097612e-10,9.017569159497771e-09,2.1579283824964798e-10,1.1659739588159895e-09,8.848281632970672e-10,1.1847135783716015e-09
61151774060998,40.01438218293899,40.006589797170044,40.012921624371565,1.5364042312393065,1.679496491361507,1.7941624752853238,1.0,1.0,1.0,0.7199615796491088,0.7227482919401197,0.8731190322170976,4.978494888353904e-10,4.873196773952388e-10,5.08671911569756e-10,9.114274770728815e-10,9.150272435485074e-10,1.1092033425633246e-09
61153778832999,40.02161828887069,40.00929759635626,40.02308147528631,1.9493431508085184,0.8204835631346005,2.0258709071445673,1.0,1.0,1.0,0.946284557898646,0.41547548159925085,1.0011641888450693,4.965652102377999e-10,5.48718941577757e-10,4.970356799402436e-10,1.203682252856704e-09,5.182385831483933e-10,1.2745493150294882e-09
61155782684999,40.02963187540711,40.01144900026048,40.033711575775136,1.766020035536247,1.32828797112957,1.888716922135569,1.0,1.0,1.0,0.8747474729109387,0.5558522424178254,0.9207820722987592,5.092601275127899e-10,5.493749229255893e-10,5.032926904965296e-10,1.1113035600525026e-09,6.995098891432844e-10,1.170748424193688e-09
61157782957000,40.03489044362869,40.013157127829984,40.04247176254026,1.7865988679150802,1.4981592148868932,1.9423070355550944,1.0,1.0,1.0,0.7839465305215125,0.692263866480694,0.9514219815747164,4.693914691798394e-10,5.313358309514606e-10,4.965914467951443e-10,9.940494499060068e-10,8.756609948228918e-10,1.2103130452370091e-09
61159786538999,40.03880140709645,40.015773565965674,40.05332234912556,1.3222143128412305,1.8591398907338097,1.994714735235964,1.0,1.0,1.0,0.5971511749106447,0.7924791178659387,0.9678991392742153,1.4928498064540982e-08,4.6495287564623084e-10,4.906076813728569e-10,7.528358236221827e-10,1.0050707733960432e-09,1.2315886593584748e-09
61161848380999,40.04202155981673,40.018347574051,40.06274486675369,0.9687980681558342,1.4291582813635955,1.8421904245537415,1.0,1.0,1.0,0.4870776709382858,0.6591412590933657,0.9280980705843739,5.306983853251553e-08,5.37276663770763e-10,5.141621101076308e-10,6.106949436637472e-10,8.328882180431312e-10,1.1801911680682161e-09
61163849505000,40.0455216694546,40.02146971607685,40.0685147893121,0.36177961155845345,1.5202328357576333,0.6002157713192682,2.5,2.5,2.5,0.2132644488618297,0.7136305621797358,0.30405462118780247,1.5183462755129249e-07,2.0940740506394166e-08,9.22151695152111e-08,2.1391087164495077e-10,8.807650368820703e-10,3.4857917153908696e-10
61165849570999,40.06445436650382,40.035933416869504,40.11183626634299,1.4689610668349802,1.6114618272040655,1.9532507917277322,4.0,4.0,4.0,4.780023569734161,5.125541641481924,6.159295115430931,6.575784059729275e-08,1.9286683996494188e-08,2.0732468657820723e-08,8.134466807132232e-10,8.734332806305178e-10,1.0529021755751122e-09
61167857119999,40.10410016213255,40.06011483972785,40.176561141848104,0.4111578707175607,1.645070521183154,0.9267646786292147,4.0,4.0,4.0,1.4657176598110544,5.29016044052408,3.0381892614196073,2.7222896090732076e-07,2.708171858031309e-08,1.1541330875333237e-07,2.3804520174239913e-10,9.020122356355678e-10,5.110416408250907e-10
